ANIO,COMBUSTIBLE,KILOMETROS,MARCA,PRECIO_NORMAL,PUERTAS,REGION,TIPO_AVISO,TIPO_CATEGORIA,TRANSMISION,VERSION,AIRBAG_ACOMP,AIRBAG_CONDUC,AIRBAG_CORTINA,AIRBAG_LAT,AIRBAG_TRAS,ALARMA,CIERRE_AUT_MOV,FRENOS_ABS,ISOFIX,AIRE_ACON,BLUETOOTH,CNTRL_VEL_CRUCERO,GPS,MANOS_LIBRES,RANGO_KM,RANGO_PRECIO,LOG_PRECIO,Label
2007,BENCINA,165000,CITROEN,2980000.0,5 o MAS,RM,PARTICULAR,HATCHBACK,MANUAL,C4,SI,SI,SI,SI,SI,SI,SI,NO,SI,NO,SI,SI,SI,SI,"(100000, 250000]","(2500000, 5000000]",14.907433858481587,3738327.9627806228
2015,BENCINA,64000,MITSUBISHI,10480000.0,5 o MAS,RM,,FAMILIAR,AUTOMATICA,OUTLANDER,NO,NO,SI,NO,SI,NO,SI,NO,NO,NO,NO,NO,SI,NO,"(60000, 100000]","(10000000, 15000000]",16.16497923685717,11147492.774276178
2010,BENCINA,70200,VOLKSWAGEN,6400000.0,2,RM,,HATCHBACK,AUTOMATICA,BEETLE,NO,NO,SI,SI,SI,NO,NO,NO,SI,NO,SI,SI,SI,SI,"(60000, 100000]","(5000000, 10000000]",15.671808548329901,5804043.104150385
2015,BENCINA,71000,MAZDA,7990000.0,5 o MAS,V REGION,,HATCHBACK,MANUAL,3,NO,NO,SI,SI,SI,NO,SI,NO,NO,NO,SI,SI,SI,SI,"(60000, 100000]","(5000000, 10000000]",15.893701317742458,7547440.849876728
2017,BENCINA,30000,NISSAN,17990000.0,5 o MAS,RM,ASISTIDA,FAMILIAR,AUTOMATICA,PATHFINDER,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,SI,NO,SI,SI,"(15000, 40000]","(15000000, 20000000]",16.705326605926714,18483932.345515523
2015,BENCINA,81182,NISSAN,10980000.0,4,V REGION,ASISTIDA,FAMILIAR,AUTOMATICA,X-TRAIL,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,SI,NO,"(60000, 100000]","(10000000, 15000000]",16.21158599404566,11147492.774276178
2015,BENCINA,73000,HYUNDAI,11900000.0,5 o MAS,RM,PARTICULAR,MONOVOLUMEN,MANUAL,SANTA FE,SI,SI,SI,SI,SI,SI,SI,NO,NO,NO,SI,NO,SI,SI,"(60000, 100000]","(10000000, 15000000]",16.292048958081757,11230986.928328918
2014,BENCINA,42000,FORD,10690000.0,5 o MAS,II REGION,,MONOVOLUMEN,AUTOMATICA,ESCAPE,SI,SI,SI,SI,SI,SI,SI,SI,SI,NO,SI,SI,SI,SI,"(40000, 60000]","(10000000, 15000000]",16.18481928300123,11147492.774276178
2009,BENCINA,118000,MAZDA,5000000.0,4,RM,PARTICULAR,SEDAN,MANUAL,3,NO,NO,SI,SI,SI,SI,SI,NO,SI,NO,SI,SI,SI,SI,"(100000, 250000]","(2500000, 5000000]",15.424948470398375,5793810.818171797
2013,BENCINA,88000,HYUNDAI,9980000.0,5 o MAS,RM,ASISTIDA,MONOVOLUMEN,MANUAL,SANTA FE,SI,NO,SI,NO,SI,SI,SI,SI,NO,NO,NO,NO,SI,SI,"(60000, 100000]","(5000000, 10000000]",16.116093648287645,9309667.617617149
2013,DIESEL,127000,SKODA,9900000.0,5 o MAS,RM,PARTICULAR,HATCHBACK,MANUAL,OCTAVIA,SI,SI,SI,SI,SI,SI,SI,NO,NO,NO,SI,NO,SI,SI,"(100000, 250000]","(5000000, 10000000]",16.108045315104818,9309667.617617149
2016,BENCINA,100000,FORD,13580000.0,5 o MAS,RM,ASISTIDA,MONOVOLUMEN,AUTOMATICA,EXPLORER,NO,NO,SI,SI,NO,NO,SI,SI,SI,SI,SI,SI,SI,SI,"(60000, 100000]","(10000000, 15000000]",16.424108680094825,13207786.239853026
2013,BENCINA,80000,TOYOTA,7200000.0,5 o MAS,RM,PARTICULAR,MONOVOLUMEN,AUTOMATICA,RAV-4,SI,SI,SI,SI,SI,SI,SI,NO,SI,NO,SI,SI,SI,SI,"(60000, 100000]","(5000000, 10000000]",15.789591583986283,7531415.236314787
2013,BENCINA,55700,HYUNDAI,11450000.0,5 o MAS,II REGION,PARTICULAR,MONOVOLUMEN,AUTOMATICA,SANTA FE,SI,SI,SI,SI,SI,SI,SI,NO,NO,NO,SI,NO,SI,SI,"(40000, 60000]","(10000000, 15000000]",16.253500287964524,11167215.088342968
2017,DIESEL,56700,MAHINDRA,11980000.0,5 o MAS,IX REGION,ASISTIDA,MONOVOLUMEN,MANUAL,XUV 500,NO,NO,NO,NO,SI,SI,NO,SI,NO,SI,NO,NO,SI,NO,"(40000, 60000]","(10000000, 15000000]",16.298749150651577,11230986.928328918
2008,BENCINA,190546,PEUGEOT,3290000.0,3,RM,,UTILITARIO,MANUAL,PARTNER,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,"(100000, 250000]","(2500000, 5000000]",15.006398122741555,3738327.9627806228
2013,BENCINA,58000,CHEVROLET,19000000.0,2,RM,PARTICULAR,CONVERTIBLE,AUTOMATICA,CAMARO,SI,SI,SI,SI,SI,SI,SI,NO,NO,NO,SI,NO,SI,SI,"(40000, 60000]","(15000000, 20000000]",16.759949537130716,18483932.345515523
2012,BENCINA,124709,MERCEDES BENZ,13990000.0,5 o MAS,RM,ASISTIDA,MONOVOLUMEN,AUTOMATICA,ML 350,NO,NO,SI,NO,NO,SI,SI,SI,SI,NO,SI,NO,SI,SI,"(100000, 250000]","(10000000, 15000000]",16.453853346641665,13263550.806481037
2017,BENCINA,40000,KIA,7190000.0,4,RM,PARTICULAR,SEDAN,MANUAL,RIO 4,NO,NO,SI,SI,SI,NO,SI,NO,NO,NO,NO,NO,SI,NO,"(15000, 40000]","(5000000, 10000000]",15.78820172969723,7531415.236314787
2012,DIESEL,126000,BMW,10500000.0,5 o MAS,RM,PARTICULAR,MONOVOLUMEN,MANUAL,X3,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,"(100000, 250000]","(10000000, 15000000]",16.166885815127753,11147492.774276178
2013,BENCINA,73000,FORD,14100000.0,5 o MAS,RM,PARTICULAR,MONOVOLUMEN,AUTOMATICA,EXPLORER,SI,SI,SI,SI,SI,SI,SI,NO,NO,NO,SI,NO,SI,SI,"(60000, 100000]","(10000000, 15000000]",16.461685355348397,13280523.925196897
2017,DIESEL,60000,MERCEDES BENZ,15490000.0,5 o MAS,RM,,HATCHBACK,AUTOMATICA,A 200,NO,SI,SI,SI,SI,NO,SI,NO,SI,NO,SI,SI,SI,SI,"(40000, 60000]","(15000000, 20000000]",16.55570521239305,15727181.679868855
2015,DIESEL,105000,MAZDA,15500000.0,4,RM,PARTICULAR,PICK UP,AUTOMATICA,BT 50,SI,SI,SI,SI,SI,SI,SI,NO,SI,NO,SI,SI,SI,SI,"(100000, 250000]","(15000000, 20000000]",16.556350581889475,15727181.679868855
2013,BENCINA,155700,SSANGYONG,6190000.0,5 o MAS,RM,ASISTIDA,MONOVOLUMEN,MANUAL,KORANDO,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,"(100000, 250000]","(5000000, 10000000]",15.638445644660779,5793810.818171797
