ANIO;COLOR;COMBUSTIBLE;COMUNA;CONDICION;KILOMETROS;MARCA;PRECIO_NORMAL;PUERTAS;REGION;TIPO_AVISO;TIPO_CATEGORIA;TIPO_DIRECCION;TIPO_VEHICULO;TRANSMISION;VERSION;VISITAS;AIRBAG_ACOMP;AIRBAG_CONDUC;AIRBAG_CORTINA;AIRBAG_LAT;AIRBAG_TRAS;ALARMA;CIERRE_AUT_MOV;FRENOS_ABS;ISOFIX;AIRE_ACON;BLUETOOTH;CNTRL_VEL_CRUCERO;GPS;MANOS_LIBRES
2016;GRIS;DIESEL;OTRA UBICACION;USADO;71000;SSANGYONG;10500000;5 o MAS;X REGION;PARTICULAR;MONOVOLUMEN;HIDRAULICA;;MANUAL;KORANDO;14;SI;SI;SI;SI;SI;SI;SI;NO;SI;NO;SI;SI;SI;SI
2002;OTRO;BENCINA;QUILPUE;USADO;278300;FORD;2650000;5 o MAS;V REGION;PARTICULAR;MONOVOLUMEN;HIDRAULICA;;AUTOMATICA;ESCAPE;27;SI;SI;SI;SI;SI;SI;SI;NO;NO;NO;SI;SI;SI;SI
2016;OTRO;BENCINA;CONCEPCION;USADO;29000;SUZUKI;6250000;5 o MAS;VIII REGION;PARTICULAR;HATCHBACK;MECANICA;;MANUAL;SWIFT;19;SI;SI;SI;SI;SI;SI;SI;NO;SI;NO;SI;SI;SI;SI
2011;OTRO;BENCINA;CONCEPCION;USADO;127800;MITSUBISHI;6950000;5 o MAS;VIII REGION;PARTICULAR;MONOVOLUMEN;ASISTIDA;;AUTOMATICA;OUTLANDER;14;SI;SI;SI;SI;SI;SI;SI;NO;NO;NO;SI;NO;SI;SI
2009;OTRO;DIESEL;CONCEPCION;USADO;210000;JEEP;11800000;5 o MAS;VIII REGION;PARTICULAR;MONOVOLUMEN;ASISTIDA;;AUTOMATICA;WRANGLER;106;SI;SI;SI;SI;SI;SI;SI;NO;SI;NO;SI;SI;SI;SI
2017;OTRO;BENCINA;SANTIAGO;USADO;45000;SUBARU;14650000;5 o MAS;RM;PARTICULAR;FAMILIAR;ASISTIDA;;AUTOMATICA;OUTBACK;38;SI;SI;SI;SI;SI;SI;SI;NO;NO;NO;SI;NO;SI;SI
2013;BLANCO;BENCINA;QUILPUE;USADO;69000;AUDI;6990000;3;V REGION;PARTICULAR;HATCHBACK;MECANICA;;MANUAL;A1;39;SI;SI;SI;SI;SI;SI;SI;NO;NO;NO;SI;SI;SI;SI
2012;OTRO;DIESEL;SANTIAGO;USADO;144000;SSANGYONG;9800000;5 o MAS;RM;PARTICULAR;MONOVOLUMEN;HIDRAULICA;;MANUAL;REXTON;10;SI;SI;SI;SI;SI;SI;SI;NO;SI;NO;SI;SI;SI;SI
2013;OTRO;DIESEL;SANTIAGO;USADO;130000;PEUGEOT;9800000;5 o MAS;RM;PARTICULAR;HATCHBACK;HIDRAULICA;;MANUAL;5008;45;SI;SI;SI;SI;SI;SI;SI;NO;NO;NO;SI;NO;SI;SI
2009;NEGRO;BENCINA;SANTIAGO;USADO;200000;MAZDA;7200000;5 o MAS;RM;PARTICULAR;MONOVOLUMEN;ASISTIDA;;AUTOMATICA;CX 9;62;SI;SI;SI;SI;SI;SI;SI;NO;NO;NO;SI;NO;SI;SI
2017;OTRO;BENCINA;RANCAGUA;USADO;24000;KIA;9500000;5 o MAS;VI REGION;PARTICULAR;HATCHBACK;ASISTIDA;;MANUAL;RIO 5;20;SI;SI;SI;SI;SI;SI;SI;NO;SI;NO;SI;SI;SI;SI
2017;OTRO;BENCINA;QUILPUE;USADO;22000;JAC;6300000;5 o MAS;V REGION;PARTICULAR;MONOVOLUMEN;HIDRAULICA;;MANUAL;S2;12;SI;SI;SI;SI;SI;SI;SI;NO;SI;NO;SI;SI;SI;SI
2011;OTRO;BENCINA;CURICO;USADO;106000;VOLVO;6100000;3;VII REGION;PARTICULAR;HATCHBACK;ASISTIDA;;AUTOMATICA;C30;23;SI;SI;SI;SI;SI;SI;SI;NO;NO;NO;SI;NO;SI;SI
2016;GRIS;BENCINA;SANTIAGO;USADO;45000;KIA;5290000;5 o MAS;RM;PARTICULAR;HATCHBACK;HIDRAULICA;;MANUAL;MORNING;64;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;SI;SI;SI;SI
2010;BLANCO;BENCINA;LOS ANGELES;USADO;96750;TOYOTA;5300000;4;VIII REGION;PARTICULAR;SEDAN;MECANICA;;MANUAL;COROLLA;14;SI;SI;SI;SI;SI;SI;SI;NO;SI;NO;SI;SI;SI;SI
2012;OTRO;BENCINA;VINA DEL MAR;USADO;50200;HYUNDAI;8000000;5 o MAS;V REGION;PARTICULAR;MONOVOLUMEN;HIDRAULICA;;MANUAL;TUCSON;26;SI;SI;SI;SI;SI;SI;SI;SI;NO;SI;SI;SI;SI;SI
